code,year,quarter,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sh.600332,2019,4.0,2020-04-01,2019-12-31,0.139041,0.05298200000000002,0.198157,3441287198.23,1.961436,64682984312.0,1625790949.0,1405890949.0
sh.600332,2020,4.0,2021-03-19,2020-12-31,0.115846,0.050129,0.169284,3091627839.46,1.7931240000000002,61450355469.37,1625790949.0,1405890949.0
sh.600332,2021,4.0,2022-03-19,2021-12-31,0.134761,0.05751000000000001,0.191748,3968985718.97,2.288042,68757954215.27,1625790949.0,1405890949.0
sh.600332,2022,4.0,2023-03-18,2022-12-31,0.129779,0.060086,0.187563,4253370333.98,2.439749,70550190409.59,1625790949.0,1405890949.0
sh.600346,2019,4.0,2020-04-17,2019-12-31,0.313676,0.100339,0.207542,10112373525.77,1.424213,100068119180.82,7039099786.0,4631935609.0
sh.600346,2020,4.0,2021-04-13,2020-12-31,0.32345300000000005,0.088564,0.185446,13494793511.4,1.9124299999999999,150914728000.0,7039099786.0,4631935609.0
sh.600346,2021,4.0,2022-04-07,2021-12-31,0.298283,0.078487,0.15382200000000001,15538178030.29,2.206401,197217862600.0,7039099786.0,7039099786.0
sh.600346,2022,4.0,2023-04-28,2022-12-31,0.042115,0.010426000000000001,0.08207,2318036950.22,0.329347,221683819000.0,7039099786.0,7039099786.0
sh.600362,2019,4.0,2020-03-31,2019-12-31,0.048119,0.009063,0.038245,2178388562.0,0.7122729999999999,239586769116.0,3462729405.0,2075247405.0
sh.600362,2020,4.0,2021-03-30,2020-12-31,0.041194,0.007670999999999998,0.035463999999999996,2443811751.0,0.6701060000000001,317525389261.0,3462729405.0,2075247405.0
sh.600362,2021,4.0,2022-03-26,2021-12-31,0.086895,0.013356999999999999,0.039626,5913928215.0,1.627493,441192286276.0,3462729405.0,2075247405.0
sh.600362,2022,4.0,2023-03-25,2022-12-31,0.083646,0.012687,0.029855,6088834189.0,1.730994,478328390336.0,3462729405.0,2075247405.0
sh.600383,2019,4.0,2020-04-23,2019-12-31,0.200413,0.24514899999999998,0.405039,15465018513.3,2.2317099999999996,62926967073.79,4514583572.0,4514583572.0
sh.600383,2020,4.0,2021-04-17,2020-12-31,0.186387,0.18218099999999998,0.328579,15240631975.52,2.303155,82287472342.02,4514583572.0,4514583572.0
sh.600383,2021,4.0,2022-04-25,2021-12-31,0.156227,0.130905,0.211794,12951092429.31,2.08425,97106935647.53,4514583572.0,4514583572.0
sh.600383,2022,4.0,2023-04-29,2022-12-31,0.09527000000000001,0.076364,0.20657199999999998,9166435470.97,1.352791,119499013868.09,4514583572.0,4514583572.0
sh.600406,2019,4.0,2020-04-30,2019-12-31,0.148972,0.143732,0.287881,4660293262.22,0.939628,32332401614.96,4622115125.0,2934898892.0
sh.600406,2020,4.0,2021-04-23,2020-12-31,0.150043,0.13535899999999998,0.268047,5211653369.9,1.049723,38399511673.99,4621735487.0,4583664125.0
sh.600406,2021,4.0,2022-04-29,2021-12-31,0.156425,0.142482,0.268782,6042805375.13,1.0174940000000001,42310688395.91,5545436888.0,5511827332.0
sh.600406,2022,4.0,2023-04-28,2022-12-31,0.160227,0.147446,0.270437,6904736373.07,0.962857,46739417653.18,6694849118.0,6627623212.0
sh.600426,2019,4.0,2020-03-27,2019-12-31,0.186548,0.17286500000000002,0.278425,2453030877.47,1.508017,13846182188.45,1626659750.0,1620329750.0
sh.600426,2020,4.0,2021-03-27,2020-12-31,0.12110399999999999,0.137131,0.21368800000000002,1798473835.79,1.105564,12835658979.72,1626659750.0,1620329750.0
sh.600426,2021,4.0,2022-03-30,2021-12-31,0.384587,0.272329,0.354916,7253714554.55,3.4348769999999997,26316909688.18,2111914669.0,2109171597.0
sh.600426,2022,4.0,2023-03-30,2022-12-31,0.255775,0.207884,0.289445,6287522851.21,2.962047,29347106580.3,2123319999.0,2109171597.0
sh.600436,2019,4.0,2020-04-25,2019-12-31,0.235988,0.242375,0.44236400000000003,1386935598.45,2.278034,5705937300.0,603317210.0,603317210.0
sh.600436,2020,4.0,2021-04-24,2020-12-31,0.2306570000000001,0.25947,0.451593,1689355251.86,2.770547,6492504700.0,603317210.0,603317210.0
sh.600436,2021,4.0,2022-04-16,2021-12-31,0.276818,0.307175,0.507205,2464020950.98,4.030143,8004263700.0,603317210.0,603317210.0
sh.600436,2022,4.0,2023-04-15,2022-12-31,0.23506999999999997,0.290197,0.456424,2522977110.59,4.097918,8674478080.41,603317210.0,603317210.0
sh.600438,2019,4.0,2020-04-21,2019-12-31,0.163057,0.071424,0.18690199999999998,2682335991.14,0.678559,36427626635.92,3882594596.0,3882594596.0
sh.600438,2020,4.0,2021-04-13,2020-12-31,0.14995999999999998,0.08404299999999999,0.170856,3714738791.09,0.801485,43433643659.03,4501548184.0,4287855684.0
sh.600438,2021,4.0,2022-04-26,2021-12-31,0.24125300000000002,0.137692,0.276779,8742219670.84,1.8233549999999998,62770969084.94,4501548184.0,4501548184.0
sh.600438,2022,4.0,2023-04-25,2022-12-31,0.523428,0.227302,0.38169899999999995,32372885540.81,5.714517,141472384388.51,4501946097.0,4501946097.0
sh.600460,2019,4.0,2020-04-23,2019-12-31,0.00427,-0.034499,0.194745,-107311200.83,0.011076,3038964493.55,1312061614.0,1312061614.0
sh.600460,2020,4.0,2021-03-13,2020-12-31,0.019803,-0.005288,0.22500599999999998,-22636636.57,0.05152,4096047774.75,1312061614.0,1312061614.0
sh.600460,2021,4.0,2022-03-29,2021-12-31,0.30790100000000004,0.21100500000000005,0.331894,1518001610.94,1.0717860000000001,6933175027.47,1416071845.0,1312061614.0
sh.600460,2022,4.0,2023-03-31,2022-12-31,0.152699,0.12648199999999998,0.294481,1047545556.65,0.7431939999999999,8085019548.14,1416071845.0,1416071845.0
sh.600519,2019,4.0,2020-04-22,2019-12-31,0.331177,0.5146930000000001,0.9130280000000001,43970000792.51,32.802534,85344568341.23,1256197800.0,1256197800.0
sh.600519,2020,4.0,2021-03-31,2020-12-31,0.314108,0.521763,0.914092,49523329882.4,37.173513,94821999102.45,1256197800.0,1256197800.0
